Dataset,Dataset prop,Training Prop,Data normalized,SOM type,Lattice distribution,Lattice width,Lattice height,Neighborhood radius,Learning factor,Tuning factor,Initialization,Distance,Neighborhood function,Training iters,Tuning iters,Tolerance,Models created,Init seed,Set shuffling seed,Av MQE after training,MQE SD after training,Av success,Av failure,Av Precision,Av MQE after test,MQE SD after test,Elapsed time
glass.csv,1.0,0.6,true,Batch,Rectangular,8,7,5,0.8,0.2,Normalized Random,Manhattan,Gaussian,500,0,0.0,30,-391669239,-1047655787,0.4055551144601719,0.28157670586985195,51.4,37.6,57.752808988764045,0.5441544945535975,0.3789184637489504,1:33
glass.csv,1.0,0.6,true,Batch,Rectangular,8,7,5,0.8,0.2,Normalized Random,Manhattan,Gaussian,1000,0,0.0,30,27965589,1301604595,0.3706686116647973,0.269201224786286,52.3,36.7,58.76404494382021,0.5104153187131673,0.37806611689908226,3:3
glass.csv,1.0,0.6,true,Batch,Hexagonal,8,7,5,0.8,0.2,Normalized Random,Manhattan,Gaussian,200,0,0.0,30,-944262239,-286150450,0.37649247090230686,0.25290159934283774,54.86666666666667,34.13333333333333,61.64794007490636,0.5022235300644056,0.35466832585740005,0:37
glass.csv,1.0,0.6,true,Batch,Hexagonal,8,7,5,0.8,0.2,Normalized Random,Manhattan,Gaussian,500,0,0.0,30,368809809,1051453228,0.39435873503299673,0.2764991773389843,48.86666666666667,40.13333333333333,54.906367041198514,0.5292880013030191,0.38349014646283713,1:33
glass.csv,1.0,0.6,true,Batch,Hexagonal,8,7,5,0.8,0.2,Normalized Random,Manhattan,Gaussian,1000,0,0.0,30,309040889,2097155532,0.39144003394209154,0.27824450815352153,52.833333333333336,36.166666666666664,59.363295880149806,0.5294641184396427,0.37791790413555054,3:15
glass.csv,1.0,0.6,false,Batch,Rectangular,8,7,5,0.8,0.2,Random,Manhattan,Gaussian,200,0,0.0,30,-2099167667,-1585403110,0.6667223546274169,0.6430727318457834,62.93333333333333,26.066666666666666,70.7116104868914,0.9687034245611646,1.189471440826075,0:36
glass.csv,1.0,0.6,false,Batch,Rectangular,8,7,5,0.8,0.2,Random,Manhattan,Gaussian,500,0,0.0,30,1673749267,1166842371,0.6685607645398749,0.6826220492270567,61.3,27.7,68.87640449438203,0.9970206564897979,1.2337477730835298,1:28
glass.csv,1.0,0.6,false,Batch,Rectangular,8,7,5,0.8,0.2,Random,Manhattan,Gaussian,1000,0,0.0,30,1386867177,-910732882,0.645872529837037,0.6547578482946282,60.0,29.0,67.41573033707866,0.978773566701281,1.2234816130078454,2:57
glass.csv,1.0,0.6,false,Batch,Hexagonal,8,7,5,0.8,0.2,Random,Manhattan,Gaussian,200,0,0.0,30,1262061430,1186174486,0.6684114278899471,0.7044765763126027,60.93333333333333,28.066666666666666,68.46441947565543,1.0084963351649237,1.2955869839325063,0:33
glass.csv,1.0,0.6,false,Batch,Hexagonal,8,7,5,0.8,0.2,Random,Manhattan,Gaussian,500,0,0.0,30,1222408666,223885893,0.69188536093545,0.6917224852915064,60.86666666666667,28.133333333333333,68.38951310861422,1.0075983992440538,1.2426800692130715,1:25
glass.csv,1.0,0.6,false,Batch,Hexagonal,8,7,5,0.8,0.2,Random,Manhattan,Gaussian,1000,0,0.0,30,1601334397,306763272,0.6725129691771045,0.6856200782663074,60.03333333333333,28.966666666666665,67.45318352059925,0.9937252321059394,1.220712287998228,2:48
